DRE;CODESC;TIPOESC;NOMESC;DIRETORIA;SUBPREF;CEU;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;CODDIST;DISTRITO;SETOR;CODINEP;CODCIE;EH;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_FUNC;DT_AUTORIZA;NOME_ANT;T2D3D;T2D3D16;T2D3D15;T2D3D14;T2D3D13;T2D3D12;T2D3D11;T2D3D10;T2D3D09;T2D3D08;T2D3D07;DTURNOS;DTURNOS16;DTURNOS15;DTURNOS14;DTURNOS13;DTURNOS12;DTURNOS11;DTURNOS10;DTURNOS09;DTURNOS08;DTURNOS07;LATITUDE;LONGITUDE;REDE;DATABASE
G;000086;EMEI;PAULO CAMILHIER FLORENCANO;GUAIANASES;GUAIANASES;;RUA FELICIANO DE MENDONÇA;502   ;JARDIM SÃO PAULO(ZONA LESTE);08460365;25578348;25571947;25571947;Ativa;31;GUAIANASES;3103;35098711;35098711;161078110000000;13-jun-88;26.134;13-jun-88;22-set-88;16-mar-91;;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MT;-23553905;-46398452;DIR;28-dez-17
FO;000094;EMEI;VICENTE PAULO DA SILVA;FREGUESIA/BRASILANDIA;CASA VERDE/CACHOEIRINHA;;RUA DOUTOR FLEURY SILVEIRA;295   ;VILA SANTA MARIA;02563010;39813227;;;Ativa;50;LIMAO;5002;35098361;35098361;161070158000000;04-jul-88;26.314;04-jul-88;01-ago-88;16-mar-91;;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;-23489728;-46670198;DIR;28-dez-17
MP;000108;EMEF;JOSE ERMIRIO DE MORAIS, SEN.;SAO MIGUEL;SAO MIGUEL;;RUA SAO BRAS DO SUACUI;159   ;JARDIM HELENA;08090290;25865294;25811484;;Ativa;44;JARDIM HELENA;4402;35098760;35098760;161077116000000;05-jul-88;26.312;05-jul-88;01-set-88;13-mar-01;VILA NITRO OPERARIA;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MTN;MTN;MTN;MTN;MIVN;MIVN;-23478312;-46427344;DIR;28-dez-17
BT;000191;EMEF;ALIPIO CORREA NETO, PROF.;BUTANTA;BUTANTA;;AVENIDA JOAO CAIAFFA;140   ;JARDIM TABOAO;05742100;58450121;;58450121;Ativa;94;VILA SONIA;9404;35098462;35098462;161079154000000;27-mai-88;26.003;27-mai-88;02-out-88;16-mar-91;;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;MTN;-23612237;-46749888;DIR;28-dez-17
PJ;000205;EMEBS;VERA LUCIA APARECIDA RIBEIRO, PROFA.;PIRITUBA;PIRITUBA;;RUA BENEDITO PEREIRA;206   ;JARDIM LIBANO;05138120;39067057;39067229;;Ativa;63;PIRITUBA;6301;35079029;35079029;161071138000000;22-jun-88;26.229;22-jun-88;19-set-88;16-mar-91;;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23486142;-46733901;DIR;28-dez-17
BT;000213;EMEI;ANTONIO CARLOS PACHECO E SILVA, PROF.;BUTANTA;BUTANTA;;AVENIDA JOÃO CAIAFFA;90    ;JARDIM TABOÃO;05742100;58448902;;58425113;Ativa;94;VILA SONIA;9404;35098504;35098504;161079153000000;07-jun-88;26.117;07-jun-88;26-set-88;13-mar-01;;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;-23611929;-46750176;DIR;28-dez-17
FO;000221;EMEI;NAIR CORREA BUARQUE;FREGUESIA/BRASILANDIA;FREGUESIA/BRASILANDIA;;RUA SANTA ANGELA;51    ;VILA PALMEIRAS;02727000;39316339;;39329355;Ativa;29;FREGUESIA DO O;2910;35098425;35098425;161070140000000;22-jun-88;26.231;22-jun-88;17-ago-88;13-mar-01;INSTALADA JUNTO A EMPG ELIAS S. CAVALCANTI;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;MIV;-23498613;-46685953;DIR;28-dez-17
JT;000230;EMEI;MARIA YOLANDA DE SOUZA PINTO HAHNE, DA.;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;;RUA GASTAO MADEIRA;340   ;VILA MARIA ALTA;02131080;2955-9902;29676624;;Ativa;89;VILA MARIA;8906;35098395;35098395;161069185000000;13-jul-88;26.395;13-jul-88;16-fev-89;07-nov-92;PARQUE SHIBA;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23506186;-46585236;DIR;28-dez-17
JT;000248;EMEI;WALFRIDO DE CARVALHO, CEL.;JACANA/TREMEMBE;JACANA/TREMEMBE;;RUA VICENTE QUEROL;200   ;JARDIM SÃO JOÃO (ZONA NORTE);02365008;29954062;;;Ativa;81;TREMEMBE;8104;35098383;35098383;161069129000000;16-set-88;26.915;16-set-88;02-mar-89;07-nov-92;JARDIM MARTINS SILVA;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIV;-23437360;-46585072;DIR;28-dez-17
CL;000256;EMEI;WILMA ALVARENGA DE OLIVEIRA, PROFA.;CAMPO LIMPO;CAMPO LIMPO;;RUA INTEGRADA;395   ;COHAB INSTITUTO ADVENTISTA;05868670;58217976;58216627;;Ativa;19;CAPAO REDONDO;1905;35098656;35098656;161072157000000;21-set-88;26.938;21-set-88;24-abr-89;09-mar-91;;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIV;-23665048;-46777627;DIR;28-dez-17
SA;000264;EMEF;SYLVIO HECK, ALM.;SANTO AMARO;CIDADE ADEMAR;;RUA PEDRO NOGUEIRA DE PAZES;199   ;JARDIM ITAPURA;04433010;56110316;56123503;56123503;Ativa;58;PEDREIRA;5802;35098541;35098541;161073152000000;05-jul-88;26.313;04-jul-88;30-mar-89;16-mar-91;JARDIM ITAPURA;2D;2D;2D;2D;2D;3D;3D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIVN;MIVN;MIVN;-23688879;-46658865;DIR;28-dez-17
CL;000281;EMEF;VERA LUCIA FUSCO BORBA, PROFA.;CAMPO LIMPO;CAMPO LIMPO;;RUA MARTINHO LUTERO;375   ;JARDIM CAMPO LIMPO;05785180;58416595;58422424;;Ativa;17;CAMPO LIMPO;1701;35098607;35098607;161072129000000;12-ago-88;26.617;12-ago-88;16-fev-89;09-mar-91;;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIV;MIVN;-23624880;-46767503;DIR;28-dez-17
FO;000299;EMEF;ROBERTO PATRICIO, PROF.;FREGUESIA/BRASILANDIA;CASA VERDE/CACHOEIRINHA;;RUA ANTONIO DOMINGUES FREITAS;147   ;VILA AMELIA;02615020;22586078;;22588821;Ativa;13;CACHOEIRINHA;1304;35098358;35098358;161070159000000;12-ago-88;26.616;12-ago-88;15-fev-89;16-mar-91;VILA AMELIA;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;MIVN;MIVN;-23471774;-46654797;DIR;28-dez-17
JT;000302;EMEF;HELIO FRANCO CHAVES, CEL.;JACANA/TREMEMBE;JACANA/TREMEMBE;;RUA KOTINDA;1343  ;JARDIM CORISCO;02365010;29952513;29927707;;Ativa;81;TREMEMBE;8103;35098371;35098371;161069118000000;;;;15-fev-89;16-mar-91;;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MTNG;MTNG;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MIVN;MIVN;-23428244;-46582907;DIR;28-dez-17
CL;000311;EMEF;ANTONIO ALVES DA SILVA, SG.;CAMPO LIMPO;CAMPO LIMPO;;RUA GARCIA DE ORTA;36    ;PARQUE INDEPENDENCIA;05880290;58737928;58726507;;Ativa;19;CAPAO REDONDO;1907;35098632;35098632;161072133000000;16-set-88;26.916;16-set-88;15-fev-89;09-mar-91;;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MIVN;MIVN;MIVN;-23683548;-46789733;DIR;28-dez-17
PE;000329;EMEBS;NEUSA BASSETTO, PROFA.;PENHA;MOOCA;;RUA TAQUARI;459   ;MOOCA;03166000;26946923;;26946923;Ativa;53;MOOCA;5302;35079017;35079017;161074168000000;22-jun-88;26.230;22-jun-88;03-out-88;16-mar-91;NEUSA BASSETO, PROFA.;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23551158;-46598281;DIR;28-dez-17
JT;000337;EMEBS;LUCIE BRAY, ME;JACANA/TREMEMBE;JACANA/TREMEMBE;;RUA SÃO GERALDINO;236   ;VILA CONSTANÇA;02258220;22405315;22401005;;Ativa;39;JACANA;3904;35079042;35079042;161069103000000;;;;10-nov-88;16-mar-91;LUCIE BRAY, ME.;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23475348;-46581312;DIR;28-dez-17
SA;000388;EMEI;RAUL JOVIANO DO AMARAL;SANTO AMARO;CIDADE ADEMAR;;RUA VALENTINO FIORAVANTI;128   ;JARDIM RUBILENE;04475380;56740025;;56741631;Ativa;58;PEDREIRA;5803;35098553;35098553;161073146000000;16-set-88;26.917;16-set-88;01-ago-89;16-mar-91;;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIV;-23702963;-46636134;DIR;28-dez-17
SA;000418;EMEF;JOAO DE SOUZA FERRAZ, PROF.;SANTO AMARO;SANTO AMARO;;RUA RAFAEL CORREIA SAMPAIO;291   ;JARDIM PALMARES;04457100;56114691;56155200;;Ativa;16;CAMPO GRANDE;1604;35098536;35098536;161073113000000;15-out-88;27.109;14-out-88;01-fev-89;16-mar-91;;2D;2D;2D;2D;3D;3D;3D;3D;3D;3D;3D;MT;MT;MT;MT;MIV;MIV;MIV;MIV;MIV;MIV;MIV;-23689499;-46675494;DIR;28-dez-17
SM;000426;EMEI;CELIA CAMARGO PENTEADO ELIAS, PROFA.;SAO MATEUS;SAO MATEUS;;RUA JOSE VIEIRA DO RIO;257   ;PARQUE SAO RAFAEL;08320120;20196061;;20153216;Ativa;75;SAO RAFAEL;7501;35098747;35098747;161080146000000;14-out-88;27.113;14-out-88;15-mai-89;16-mar-91;;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIV;-23629017;-46475580;DIR;28-dez-17
PJ;000434;EMEI;CLEMENTE SEGUNDO PINHO, PROF.;PIRITUBA;PIRITUBA;;RUA VIRGINIA GALILEI;100   ;JARDIM IPANEMA;05187060;39410593;39410593;;Ativa;42;JARAGUA;4203;35098437;35098437;161071104000000;19-out-88;27.168;19-out-88;29-mai-89;13-mar-01;;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIV;-23444008;-46750245;DIR;28-dez-17
IP;000442;EMEI;ANTONIO RUBBO MULLER, PROF.;IPIRANGA;VILA PRUDENTE;;RUA CARMINHA;123   ;PARQUE SAO LUCAS;03240040;29187032;;;Ativa;72;SAO LUCAS;7202;35098693;35098693;161068174000000;26-out-88;27.209;26-out-88;15-fev-89;16-mar-91;JTO A EMPG AUREA RIBEIRO XAVIER LOPES, PROF.;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23598841;-46544618;DIR;28-dez-17
PJ;000451;EMEI;MARIA DO CARMO GODOY RAMOS, PROFA.;PIRITUBA;PIRITUBA;;RUA MIGUEL PEREIRA LANDIM;193   ;JARDIM JARAGUA;05158000;39049242;39067053;39067053;Ativa;95;SAO DOMINGOS;9501;35098449;35098449;161071159000000;26-out-88;27.210;26-out-88;29-mai-89;13-mar-01;JARDIM JARAGUA, ANEXA A EMPG HENRIQUE GEISEL;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;-23489533;-46756681;DIR;28-dez-17
PJ;000469;EMEI;RODOLFO TREVISAN;PIRITUBA;LAPA;;RUA SILVA AIROSA;60    ;VILA RIBEIRO DE BARROS;05307040;38365027;;36415262;Ativa;88;VILA LEOPOLDINA;8801;35098516;35098516;161071183000000;26-out-88;27.211;26-out-88;13-fev-89;13-mar-01;JARDIM HUMAITA;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;MT;MT;MT;MT;-23519917;-46741859;DIR;28-dez-17
BT;000477;EMEF;EDA TEREZINHA CHICA MEDEIROS, PROFA.;BUTANTA;BUTANTA;;RUA ENGENHEIRO HUGO TAKAHASHI;333   ;RAPOSO TAVARES;05563120;37820714;;37816437;Ativa;65;RAPOSO TAVARES;6504;35098474;35098474;161079119000000;26-out-88;27.212;26-out-88;20-fev-89;16-mar-91;JARDIM EDUCANDARIO;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MTN;MTN;MTN;MTN;MTN;-23602076;-46783825;DIR;28-dez-17
PE;000485;EMEF;ASSAD ABDALA;PENHA;PENHA;;AVENIDA MENDONÇA DRUMOND;902   ;JARDIM MARINGÁ;03524030;27812502;27811729;;Ativa;91;VILA MATILDE;9103;35098668;35098668;161074176000000;27-out-88;27.213;26-out-88;15-fev-89;13-dez-95;;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTG;MTG;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23553203;-46517809;DIR;28-dez-17
CS;000493;EMEI;AURELIO BUARQUE DE HOLANDA FERREIRA;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;RUA DOUTOR ARMANDO FAJARDO;400   ;JARDIM SÃO BERNARDO;04844590;59394789;59287612;;Ativa;30;GRAJAU;3003;35066312;35066312;161075126000000;18-nov-88;27.340;18-nov-88;18-fev-91;13-mar-01;JARDIM SAO BERNARDO / JARDIM PETRONITA;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIV;-23756392;-46702787;DIR;28-dez-17
CS;000531;EMEI;MARIA EUGENIA FAKHOURY;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;RUA CONSTELACAO DO ERIDANO;200   ;JARDIM CAMPINAS;04858580;55275656;55263674;;Ativa;30;GRAJAU;3004;35066291;35066291;161075131000000;25-nov-88;27.370;25-nov-88;13-mar-89;16-mar-91;;2D;2D;2D;2D;2D;3D;3D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIV;MIV;MIV;-23771399;-46705051;DIR;28-dez-17
PJ;000540;EMEF;RAUL POMPEIA;PIRITUBA;PIRITUBA;;AVENIDA ELIAS ANTONIO LOPES;165   ;PARQUE DE TAIPAS;02986110;39415024;39415771;;Ativa;42;JARAGUA;4208;35066266;35066266;161071130000000;25-nov-88;27.369;25-nov-88;28-fev-89;16-mar-91;;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MIVN;MIVN;-23433769;-46713867;DIR;28-dez-17
IP;000558;EMEI;SENA MADUREIRA;IPIRANGA;VILA MARIANA;;RUA LOEFGREEN;1963  ;VILA CLEMENTINO;04040033;50844154;55492369;;Ativa;90;VILA MARIANA;9003;35066278;35066278;161068173000000;30-nov-88;27.416;30-nov-88;01-ago-90;13-mar-01;;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;MT;MT;MT;-23599760;-46644564;DIR;28-dez-17
CL;000566;EMEF;TERESA MARGARIDA DA SILVA E ORTA;CAMPO LIMPO;M'BOI MIRIM;;RUA ENGENHEIRO MILTON DE ALVARENGA PEIXOTO;20    ;VILA GILDA;04953040;55170577;58999876;;Ativa;43;JARDIM ANGELA;4309;35066308;35066308;161072198000000;09-dez-88;27.469;09-dez-88;13-mar-89;07-nov-92;;2D;2D;2D;2D;3D;3D;3D;3D;3D;3D;3D;MTN;MTN;MTN;MTN;MIVN;MIVN;MIVN;MIVN;MIVN;MIVN;MIVN;-23722201;-46757039;DIR;28-dez-17
CL;000574;EMEI;ORLANDO DE ALVARENGA GAUDIO, PROF.;CAMPO LIMPO;M'BOI MIRIM;;RUA ANTÔNIO ELIAS SCHOUERI;142   ;PARQUE DO LAGO;04945005;55171008;;55170848;Ativa;43;JARDIM ANGELA;4306;35066285;35066285;161072197000000;09-dez-88;27.470;09-dez-88;08-abr-91;07-nov-92;;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIV;-23715175;-46779841;DIR;28-dez-17
SM;000892;EMEF;HENRIQUE SOUZA FILHO - HENFIL;SAO MATEUS;SAO MATEUS;;RUA ÉRICO SEMER;S/N   ;JARDIM MARILU;08371400;27312097;;27313204;Ativa;33;IGUATEMI;3303;35066734;35066734;161080114000000;05-jun-89;27.809;05-jun-89;01-ago-89;07-nov-92;;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23598559;-46423164;DIR;28-dez-17
G;008834;EMEF;IDEMIA DE GODOY, PROFA.;GUAIANASES;GUAIANASES;;RUA ANDES;807   ;GUAIANAZES;08440180;25544580;25571945;;Ativa;96;LAJEADO;9605;35068718;35068718;161078126000000;30-mar-90;28.629;30-mar-90;26-jul-90;07-nov-92;CHABILANDIA II;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MIVN;-23536549;-46406522;DIR;28-dez-17
IQ;008842;EMEF;SEBASTIAO FRANCISCO, O NEGRO;ITAQUERA;ITAQUERA;;RUA ONOFRE JORGE VELHO;260   ;CIDADE LIDER;08280330;27493651;27481131;;Ativa;57;PARQUE DO CARMO;5703;35068697;35068697;161076163000000;30-mar-90;28.628;30-mar-90;16-ago-90;07-nov-92;CIDADE LIDER I;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTG;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23560774;-46469597;DIR;28-dez-17
G;009130;EMEI;OLGA BENARIO PRESTES;GUAIANASES;CIDADE TIRADENTES;;RUA IGARAPE FARTURA;195   ;COHAB INACIO MONTEIRO;08472400;25552615;25554188;25552615;Ativa;25;CIDADE TIRADENTES;2501;35068724;35068724;161078171000000;03-ago-90;28.908;03-ago-90;18-fev-91;07-nov-92;CONJ. HABITACIONAL INACIO MONTEIRO;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23572595;-46401801;DIR;28-dez-17
G;009148;EMEF;ALEXANDRE VANNUCHI LEME;GUAIANASES;CIDADE TIRADENTES;;RUA IGARAPE DA DIANA;60    ;COHAB INACIO MONTEIRO;08472170;25554046;25555119;;Ativa;25;CIDADE TIRADENTES;2501;35068706;35068706;161078134000000;03-ago-90;28.909;03-ago-90;18-fev-91;07-nov-92;CONJUNTO HABITACIONAL INACIO MONTEIRO I;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;MTN;-23572339;-46403721;DIR;28-dez-17
G;009156;EMEF;LUIS CARLOS PRESTES, SEN.;GUAIANASES;CIDADE TIRADENTES;;RUA IGARAPE GUARA;90    ;CONJUNTO HABITACIONAL INACIO MONTEIRO;08472120;25552118;25550663;25552094;Ativa;25;CIDADE TIRADENTES;2501;35068731;35068731;161078165000000;03-ago-90;28.911;03-ago-90;18-fev-91;07-nov-92;CONJ. HABITACIONAL INACIO MONTEIRO II;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23570358;-46399528;DIR;28-dez-17
JT;009270;EMEI;DINA KUTNER DE SOUZA - DINA SFAT;JACANA/TREMEMBE;JACANA/TREMEMBE;;RUA MANUEL ARAUJO ARAGAO;317   ;JARDIM SANTO ALBERTO;02356170;22035927;;22044883;Ativa;81;TREMEMBE;8106;35068652;35068652;161069114000000;22-ago-90;28.978;22-ago-90;20-fev-91;07-nov-92;VILA ALBERTINA;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIV;-23449273;-46609579;DIR;28-dez-17
PJ;009326;EMEF;VICTOR CIVITA;PIRITUBA;PIRITUBA;;RUA GONCALO ALDANA;385   ;VILA HOMERO;05184300;39411906;39281920;;Ativa;42;JARAGUA;4201;35068639;35068639;161071114000000;05-set-90;29.012;05-set-90;18-fev-91;13-mar-01;VILA HOMERO;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;MT;-23451038;-46758412;DIR;28-dez-17
JT;009911;EMEI;SAVA POPOVIC;JACANA/TREMEMBE;SANTANA/TUCURUVI;;RUA FRIBURGO;12    ;LAUZANE PAULISTA;02440000;22318002;22318002;;Ativa;51;MANDAQUI;5102;35068640;35068640;161069144000000;09-out-90;29.102;09-out-90;21-fev-91;07-nov-92;LAUZANE PAULISTA;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23476071;-46645720;DIR;28-dez-17
IP;009971;EMEF;LUIZ GONZAGA DO NASCIMENTO JR. - GONZAGUINHA;IPIRANGA;IPIRANGA;;ESTRADA DAS LÁGRIMAS;1029  ;IPIRANGA;04232000;22731677;;22155789;Ativa;68;SACOMA;6801;35068767;35068767;161068135000000;16-nov-90;29.320;16-nov-90;18-fev-91;23-out-92;HELIOPOLIS;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23610461;-46595210;DIR;28-dez-17
IP;009989;EMEI;OTAVIO JOSE DA SILVA JUNIOR;IPIRANGA;IPIRANGA;;RUA DA FANTASIA;27    ;CIDADE NOVA HELIÓPOLIS;04236190;22732456;;22157099;Ativa;68;SACOMA;6801;35068755;35068755;161068134000000;16-nov-90;29.319;16-nov-90;08-abr-91;23-out-92;HELIOPOLIS;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;-23610929;-46594880;DIR;28-dez-17
MP;010049;EMEF;CHICO FALCONI, PE.;SAO MIGUEL;ITAIM PAULISTA;;RUA BRILHO DO SOL;96    ;JARDIM BARTIRA;08152110;25615022;;;Ativa;84;VILA CURUCA;8407;35068676;35068676;161077185000000;14-dez-90;29.429;14-dez-90;18-fev-91;13-mar-01;;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MTN;MTN;MTN;MTN;MTN;MIVN;MIVN;-23513925;-46403226;DIR;28-dez-17
IQ;010103;EMEF;FRANCISCO ALVES MENDES FILHO - CHICO MENDES;ITAQUERA;ITAQUERA;;RUA QUINTINO DA CUNHA;22    ;JARDIM MARÍLIA;03579160;22545373;22545615;;Ativa;24;CIDADE LIDER;2405;35068664;35068664;161076113000000;01-fev-91;29.506;01-fev-91;04-mar-91;07-nov-92;VILA MATILDE;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MTG;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIVN;-23561994;-46495650;DIR;28-dez-17
SA;010111;EMEF;MARIO SCHONBERG, PROF.;SANTO AMARO;CIDADE ADEMAR;;RUA PAPA GREGORIO MAGNO;133   ;VILA MISSIONARIA;04430130;56115719;56155353;56115719;Ativa;58;PEDREIRA;5802;35068792;35068792;161073151000000;01-fev-91;29.506;01-fev-91;04-mar-91;07-nov-92;SANTO AMARO I;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MT;MT;MIVN;MIVN;-23690562;-46650371;DIR;28-dez-17
SA;010120;EMEF;CARLOS AUGUSTO DE QUEIROZ ROCHA;SANTO AMARO;CIDADE ADEMAR;;AVENIDA SANTO AFONSO;775   ;JARDIM MIRIAM;04426000;56252666;;;Ativa;22;CIDADE ADEMAR;2205;35068809;35068809;161073127000000;01-fev-91;29.506;01-fev-91;10-fev-92;13-mar-01;SANTO AMARO II;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MIVN;MIVN;-23681532;-46644887;DIR;28-dez-17
SA;010138;EMEF;ELZA MAIA COSTA FREIRE, PROFA.;SANTO AMARO;CIDADE ADEMAR;;RUA DO ESPIGAO;195   ;CIDADE ADEMAR;04405190;55655928;56773510;;Ativa;22;CIDADE ADEMAR;2203;35068810;35068810;161073130000000;01-fev-91;29.506;01-fev-91;04-fev-92;13-mar-01;SANTO AMARO III;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MIVN;-23673298;-46658543;DIR;28-dez-17
CL;010146;EMEF;MARIA RITA LOPES PONTES - IRMA DULCE;CAMPO LIMPO;CAMPO LIMPO;;RUA VITORIANO PALHARES;10    ;JARDIM AMALIA;05890320;58240917;58214205;;Ativa;19;CAPAO REDONDO;1906;35068779;35068779;161072163000000;01-fev-91;29.506;01-fev-91;18-mar-91;07-nov-92;CAMPO LIMPO I;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MIVN;MIVN;MIVN;-23667435;-46793313;DIR;28-dez-17
CL;010154;EMEF;MAURO FACCIO GONCALVES - ZACARIA;CAMPO LIMPO;M'BOI MIRIM;;AVENIDA RAQUEL ALVES MOREIRA;823   ;PARQUE SANTO ANTÔNIO;05821130;55143131;58946725;;Ativa;46;JARDIM SAO LUIS;4603;35068822;35068822;161072228000000;01-fev-91;29.506;01-fev-91;05-mar-91;07-nov-92;CAMPO LIMPO II;2D;2D;2D;2D;2D;2D;2D;2D;2D;3D;3D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MIVN;MIVN;-23667809;-46748594;DIR;28-dez-17
